timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643302723374,733,Login-page,502,Bad Gateway,CDI-J&J 1-277,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,733,0,593
1643302721049,3068,Login-page,502,Bad Gateway,CDI-J&J 1-54,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3068,0,2995
1643302720999,3127,Login-page,502,Bad Gateway,CDI-J&J 1-49,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3127,0,3053
1643302723618,506,Login-page,502,Bad Gateway,CDI-J&J 1-309,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,506,0,403
1643302723912,243,Login-page,502,Bad Gateway,CDI-J&J 1-337,text,false,,300,132,364,364,https://staging.jnjonc2022.com/login,243,0,173
1643302722290,1842,Login-page,502,Bad Gateway,CDI-J&J 1-178,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1842,0,1771
1643302721300,2839,Login-page,502,Bad Gateway,CDI-J&J 1-79,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,2839,0,2783
1643302721991,2149,Login-page,502,Bad Gateway,CDI-J&J 1-148,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,2149,0,2093
1643302723353,754,Login-page,502,Bad Gateway,CDI-J&J 1-201,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,754,0,614
1643302722250,1873,Login-page,502,Bad Gateway,CDI-J&J 1-174,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,1873,0,1771
1643302720682,3425,Login-page,502,Bad Gateway,CDI-J&J 1-17,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,3423,0,3284
1643302721850,2257,Login-page,502,Bad Gateway,CDI-J&J 1-134,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,2255,0,2118
